"@title","ไทย"
"@language","th-TH"
"@scale","auto"
"@appli","155 - Do not change"
"@version","1.19 - Do not change"
"@author","svvv"
"#00000","Wooden Ring"
"#00001","Silver Ring"
"#00002","Sunrise Ring"
"#00003","Sunset Ring"
"#00004","Ocean Ring"
"#00005","Rose Ring"
"#00006","Angel Choker"
"#00007","Devil Choker"
"#00008","Blue Ribbon"
"#00009","Red Ribbon"
"#00010","Anti-Burn Amulet"
"#00011","Anti-Freeze Amulet"
"#00012","Anti-Paralysis Amulet"
"#00013","Anti-Blindness Amulet"
"#00014","Anti-Confusion Amulet"
"#00015","Anti-Sleep Amulet"
"#00016","Flower Hairclip"
"#00017","Cat Hairpin"
"#00018","Fish Hairpin"
"#00019","Bear Hairpin"
"#00020","Leather Pendant"
"#00021","Lucky Necklace"
"#00022","Feather Pendant"
"#00023","Fang Pendant"
"#00024","Evil Eye Necklace"
"#00025","Flower Necklace"
"#00026","Normal Glasses"
"#00027","Sunglasses"
"#00028","Lacquer Hairpin"
"#00029","Golden Hairpin"
"#00030","Leather Bracelet"
"#00031","Antique Pearls"
"#00032","Jade Armlet"
"#00033","Platinum Bangle"
"#00034","Hero Armlet"
"#00035","Candy Earrings"
"#00036","Water Earrings"
"#00037","Forest Earrings"
"#00038","Sunset Earrings"
"#00039","Stardust Earrings"
"#00040","I want to eat outdoors!"
"#00041","I need a taste of adventure!"
"#00042","Just want to drink in the scenery."
"#00043","Want that real adventurer experience."
"#00044","Time to shop!"
"#00045","Fresh veggies are the best!"
"#00046","I just want a nice, safe vacation."
"#00047","High-class shopping all the way!"
"#00048","We should be friends with monsters!"
"#00049","I love hot places!"
"#00050","Needs more rocks and boulders."
"#00051","Can't beat that tingly feeling."
"#00052","Need some shade to relax in..."
"#00053","Nothing like a nice, cool drink."
"#00054","I want to breathe in that salty sea air."
"#00055","Darkness gives me power..."
"#00056","Bugs are so cool!"
"#00057","Any rare plants around here?"
"#00058","I can't swim, but I still love the beach!"
"#00059","I want a tropical vacation!"
"#00060","Time to dance!"
"#00061","You can't beat fresh fish."
"#00062","Fresh fruit is my favorite."
"#00063","I'm craving something ice cold."
"#00064","I just want to kick back and relax."
